Date	0-10	15-10	30-10	45-10	60-10	75-10	90-10	105-10	120-10	135-10	150-10	165-10	180-10	195-10	210-10	225-10	240-10	255-10	270-10	285-10	300-10	315-10	330-10	345-10	0-20	15-20	30-20	45-20	60-20	75-20	90-20	105-20	120-20	135-20	150-20	165-20	180-20	195-20	210-20	225-20	240-20	255-20	270-20	285-20	300-20	315-20	330-20	345-20	0-30	15-30	30-30	45-30	60-30	75-30	90-30	105-30	120-30	135-30	150-30	165-30	180-30	195-30	210-30	225-30	240-30	255-30	270-30	285-30	300-30	315-30	330-30	345-30
04-08	164.1235	175.8405	184.8605	190.6471	192.8703	191.4063	186.3382	177.9556	166.7544	153.4348	138.8931	124.1847	110.4409	98.7182	89.8236	84.2147	82.0606	83.3989	88.2356	96.4598	107.6729	121.1141	135.7526	150.4500	185.1097	207.5311	224.5750	235.4160	239.5591	236.8207	227.3264	211.5125	190.1382	164.3462	135.8196	107.0497	81.4765	62.9253	53.3160	50.0185	49.6163	49.6926	51.3221	59.0464	76.2142	100.9773	129.6112	158.5355	200.7637	232.7500	256.8340	272.0679	277.8710	274.0253	260.6849	238.3666	207.9475	170.7669	129.1576	88.0701	58.0580	49.5042	49.2730	49.2730	49.2730	49.2730	49.2730	49.2730	52.2555	79.4595	120.0411	162.3268
04-09	271.4978	281.2161	287.7494	290.7219	289.9661	285.5254	277.6543	266.8107	253.6441	238.9754	223.7664	209.0689	195.9488	185.3879	178.1817	174.8672	175.6894	180.5922	189.2173	200.9173	214.8077	229.8551	244.9842	259.1688	299.0967	317.6048	329.9590	335.5545	334.1237	325.7393	310.8123	290.0862	264.6341	235.8781	205.6327	176.1381	149.9240	129.3319	115.8342	109.8074	111.1670	120.0409	136.4871	159.6536	187.5869	217.7574	247.7091	275.3721	318.7041	345.1240	362.6637	370.5809	368.5473	356.6570	335.4214	305.7541	268.9677	226.8665	182.0990	138.8871	103.4368	81.9324	74.2215	72.4856	72.5866	74.5674	87.0654	115.3505	155.2618	199.9997	244.2392	284.5489
04-10	345.4135	351.5537	354.3651	353.6847	349.5529	342.2129	332.1011	319.8311	306.1736	292.0176	278.3269	266.0779	256.1798	249.3915	246.2452	246.9915	251.5727	259.6289	270.5336	283.4591	297.4572	311.5453	324.7779	336.3058	377.2116	388.9089	394.2412	392.9413	385.0795	371.0612	351.6180	327.7965	300.9464	272.7130	245.0111	219.9380	199.5544	185.5666	179.0807	180.5750	189.9644	206.5588	228.9973	255.3801	283.5818	311.5464	337.4493	359.7500	399.3351	416.0510	423.6444	421.7837	410.5614	390.4904	362.4921	327.8873	288.4137	246.3301	204.6292	167.1349	137.8288	119.1722	111.0876	112.6514	124.3753	147.2869	180.3340	220.1165	262.5229	304.0304	341.9550	374.2487
04-11	405.2033	407.2387	405.8078	400.9962	393.0916	382.5722	370.0879	356.4328	342.5066	329.2649	317.6541	308.5369	302.6121	300.3446	301.9154	307.2014	315.7889	327.0167	340.0448	353.9328	367.7185	380.4839	391.4110	399.8206	441.5861	445.4587	442.7214	433.5219	418.3477	398.0163	373.6578	346.6953	318.8177	291.9311	268.0552	249.1292	236.7584	231.9982	235.2560	246.2693	264.1080	287.2514	313.7910	341.6916	369.0030	393.9803	415.1418	431.3009	466.8383	472.3687	468.4451	455.2590	433.4335	404.0123	368.4487	328.6144	286.8553	246.0905	209.7692	181.3376	163.2343	156.3844	160.9170	176.8710	203.5704	238.7927	279.1444	321.0891	361.5785	398.1484	428.8326	452.0991
04-12	419.1649	416.7013	411.0065	402.4245	391.4814	378.8628	365.3830	351.9424	339.4738	328.8765	320.9421	316.2802	315.2565	317.9528	324.1587	333.3933	344.9557	357.9940	371.5816	384.7892	396.7462	406.6907	414.0061	418.2488	455.9320	451.2136	440.2902	423.7525	402.5120	377.7811	351.0469	324.0320	298.6310	276.7853	260.2850	250.5351	248.3738	253.9930	266.9186	286.0478	309.7727	336.1967	363.3660	389.4382	412.7801	432.0193	446.0769	454.1906	481.3187	474.5466	458.8468	434.9795	404.1223	367.8574	328.1788	287.5381	248.8921	215.5599	190.6376	176.1803	172.9871	181.1833	200.4688	229.5322	265.7545	305.8120	346.4755	384.9867	419.0854	446.9551	467.1969	478.8332
04-13	410.5480	403.5607	393.6553	381.4391	367.6812	353.2760	339.1969	326.4339	315.9211	308.4533	304.6102	304.6945	308.7010	316.3163	326.9516	339.8035	353.9318	368.3418	382.0591	394.1911	403.9741	410.8087	414.2841	414.1950	446.6631	433.2684	414.1732	390.4300	363.4016	334.7359	306.3282	280.2423	258.5448	243.0489	235.0558	235.2183	243.5264	259.3076	281.2439	307.5079	336.0189	364.7031	391.6598	415.2423	434.0968	447.1875	453.8155	453.6361	471.6289	452.3886	424.8271	390.3000	350.5847	307.9151	265.0850	225.5196	192.9576	170.4421	159.3089	159.5520	171.1469	194.0671	226.9660	266.7881	309.7754	352.4827	392.1036	426.4032	453.6149	472.4073	481.8891	481.6223
04-14	354.8693	343.5946	329.8319	314.4412	298.4240	282.8719	268.8949	257.5312	249.6483	245.8563	246.4503	251.3844	260.2764	272.4412	286.9562	302.7532	318.7165	333.7695	346.9419	357.4173	364.5661	367.9682	367.4263	362.9731	389.1169	367.4704	340.7906	310.5797	278.6856	247.2942	218.8364	195.7068	179.8170	172.2752	173.4688	183.3276	201.2924	226.0542	255.5509	287.3384	319.0189	348.4771	373.9474	394.0164	407.6236	414.0714	413.0357	404.5728	413.3250	382.2018	343.5147	299.1874	251.7617	204.7489	162.8911	131.3027	112.7819	105.8787	107.1789	117.0220	138.9204	173.4542	217.1040	264.6633	311.6268	354.7222	391.5709	420.3754	439.8040	448.9793	447.4958	435.4272
04-15	250.0788	236.7624	221.7745	206.1055	190.8520	177.1323	165.9702	158.1786	154.2884	154.5431	158.9232	167.1473	178.6524	192.6025	207.9609	223.6071	238.4506	251.5145	261.9840	269.2341	272.8450	272.6125	268.5501	260.8906	276.6626	250.9780	221.6664	190.6177	160.2647	133.4728	112.9119	99.9793	94.2951	94.8041	101.4768	115.2963	136.5566	163.7944	194.3187	225.2786	254.2714	279.4415	299.3908	313.0979	319.8910	319.4453	311.7855	297.2856	295.8418	258.8274	216.0521	170.2927	126.3830	92.2788	77.1818	74.7438	74.6329	74.6454	75.1231	79.5833	96.7159	131.6146	175.7855	221.3617	263.6222	299.8603	328.3225	347.7674	357.3706	356.7306	345.8811	325.2903
04-16	129.8708	116.3047	102.1520	88.5942	76.7936	67.6488	61.5704	58.4793	58.0998	60.3389	65.3861	73.4324	84.2945	97.2732	111.2950	125.1671	137.7819	148.2234	155.7982	160.0375	160.6902	157.7186	151.2966	141.8115	148.8881	122.2697	94.4383	69.0602	51.1808	44.3254	43.2349	43.2020	43.2083	43.2702	44.1432	49.0383	62.4553	85.1972	112.3767	139.6722	164.2083	184.1979	198.5162	206.4644	207.6792	202.1093	190.0108	171.9569	163.5975	124.9152	84.4671	51.7887	43.2422	43.2749	43.2978	43.3044	43.3045	43.3045	43.3032	43.2936	48.0527	71.9853	110.4512	150.2680	185.6021	213.9907	234.1461	245.2787	246.9676	239.1555	222.1490	196.6098
04-17	21.9619	17.2587	13.3606	10.9789	10.3769	10.3691	10.3713	10.3724	10.3726	10.3717	10.4589	11.2818	13.6231	17.4575	22.0947	26.8623	31.1501	34.5062	36.6300	37.3493	36.6080	34.4619	31.0826	26.7690	26.4509	16.8165	10.6438	10.4173	10.4245	10.4297	10.4311	10.4312	10.4312	10.4311	10.4299	10.4259	11.2617	17.2058	26.6558	36.6021	45.3471	52.0325	56.1946	57.5943	56.1573	51.9599	45.2403	36.4567	30.3406	16.0086	10.3184	10.3300	10.3369	10.3369	10.3369	10.3369	10.3369	10.3369	10.3369	10.3369	10.3907	16.5661	30.6090	45.4082	58.0951	67.6242	73.5022	75.4710	73.4473	67.5187	57.9458	45.2159
