-10.00	591.90	601.90	609.83	615.19	617.65	617.05	613.43	607.02	598.22	587.60	575.84	563.74	552.11	541.77	533.45	527.77	525.15	525.78	529.62	536.38	545.56	556.50	568.42	580.49	593.45	613.06	628.54	638.96	643.72	642.55	635.53	623.06	605.86	584.97	561.69	537.51	514.07	493.04	476.00	464.28	458.84	460.14	468.06	481.96	500.73	522.90	546.86	570.91	581.28	610.10	632.71	647.88	654.79	653.10	642.90	624.72	599.55	568.80	534.25	498.03	462.57	430.43	404.14	385.93	377.44	379.44	391.76	413.28	442.12	475.89	512.00	547.91
-11.00	616.48	620.72	623.12	623.53	621.91	618.37	613.14	606.56	599.07	591.15	583.36	576.21	570.23	565.82	563.31	562.88	564.56	568.24	573.64	580.38	587.98	595.92	603.65	610.66	620.22	628.54	633.24	634.03	630.86	623.93	613.66	600.69	585.83	570.06	554.43	540.02	527.88	518.89	513.75	512.86	516.29	523.78	534.74	548.37	563.66	579.54	594.91	608.77	609.99	622.23	629.12	630.27	625.63	615.46	600.35	581.18	559.13	535.56	512.05	490.22	471.69	457.91	449.98	448.59	453.84	465.32	482.07	502.77	525.85	549.66	572.57	593.10
-12.00	643.77	642.75	640.06	635.88	630.49	624.24	617.55	610.87	604.66	599.35	595.32	592.84	592.11	593.16	595.92	600.21	605.71	612.04	618.76	625.42	631.55	636.75	640.67	643.07	649.32	647.37	642.08	633.85	623.20	610.81	597.50	584.15	571.67	560.96	552.78	547.75	546.23	548.35	553.96	562.63	573.72	586.44	599.89	613.13	625.29	635.56	643.29	648.00	640.23	637.27	629.49	617.36	601.60	583.21	563.35	543.33	524.52	508.29	495.83	488.12	485.78	488.99	497.52	510.69	527.48	546.65	566.82	586.58	604.65	619.85	631.26	638.19
-13.00	617.62	611.36	603.91	595.78	587.50	579.65	572.77	567.34	563.75	562.27	562.99	565.87	570.69	577.12	584.71	592.90	601.16	608.91	615.63	620.89	624.15	625.46	624.86	622.26	621.49	609.15	594.44	578.28	561.74	545.97	532.06	521.03	513.71	510.66	512.13	517.99	527.79	540.81	556.09	572.51	588.96	604.31	617.58	627.31	633.48	636.05	634.85	629.98	611.22	593.04	571.25	547.19	522.43	498.64	477.53	460.69	449.46	444.75	446.98	455.95	470.94	490.73	513.82	538.50	563.05	585.85	605.45	620.62	629.73	633.49	631.74	624.50
-14.00	557.43	546.41	534.83	523.46	513.09	504.46	498.19	494.74	494.38	497.12	502.76	510.89	520.92	532.13	543.74	554.96	565.05	573.33	579.29	582.54	582.88	580.29	574.93	567.14	558.15	536.38	513.31	490.48	469.48	451.87	438.98	431.87	431.10	436.75	448.35	464.98	485.34	507.90	531.08	553.30	573.13	589.33	600.92	607.23	607.89	602.86	592.43	577.23	545.95	513.74	479.32	444.93	412.99	385.94	366.02	354.95	353.75	362.52	380.47	406.04	437.07	471.15	505.83	538.78	567.98	591.69	608.51	616.87	617.81	611.28	596.21	573.98
-15.00	503.13	486.45	469.93	454.72	441.90	432.44	427.05	426.16	429.83	437.77	449.39	463.80	479.95	496.71	512.93	527.55	539.62	548.40	553.35	554.16	550.80	543.45	532.58	518.85	498.75	465.59	432.33	401.31	374.87	355.17	343.89	342.00	349.69	366.27	390.32	419.84	452.53	486.02	518.06	546.64	570.06	586.98	596.48	598.03	591.57	577.43	556.40	529.65	482.23	432.85	382.66	335.24	294.46	263.97	246.53	243.62	255.47	281.11	318.28	363.59	413.19	463.33	510.71	552.54	586.55	610.99	624.66	626.89	617.59	597.20	566.73	527.72
-16.00	353.86	335.09	317.33	301.86	289.86	282.24	279.62	282.21	289.79	301.78	317.23	334.99	353.76	372.25	389.23	403.63	414.58	421.41	423.74	421.43	414.61	403.68	389.30	372.33	342.46	304.83	268.69	236.89	212.12	196.44	191.07	196.36	211.96	236.68	268.45	304.59	342.26	378.78	411.87	439.61	460.52	473.50	477.91	473.52	460.56	439.69	411.99	378.94	322.12	265.74	211.24	164.04	129.27	109.27	102.97	109.19	129.07	163.71	210.84	265.36	321.79	375.77	424.00	464.03	493.97	512.48	518.74	512.49	494.01	464.12	424.15	376.00
-17.00	218.16	197.71	179.34	164.44	154.09	148.98	149.43	155.41	166.55	182.09	200.89	221.54	242.52	262.36	279.77	293.67	303.25	307.96	307.54	302.02	291.70	277.17	259.29	239.18	198.39	157.77	122.19	95.31	78.78	71.65	72.26	80.78	98.96	127.40	164.06	205.12	246.62	285.31	318.73	345.10	363.10	371.91	371.12	360.77	341.34	313.74	279.35	240.04	173.00	114.79	71.61	56.91	56.93	56.95	56.95	56.95	57.69	77.05	123.50	182.88	243.97	300.27	348.25	385.72	411.14	423.54	422.42	407.84	380.37	341.10	291.63	234.32
-18.00	77.44	63.71	53.27	46.50	43.03	42.19	43.72	48.02	55.76	67.13	81.57	97.84	114.41	129.84	142.91	152.70	158.57	160.17	157.40	150.43	139.69	125.89	110.02	93.37	58.78	39.72	36.74	36.76	36.77	36.77	36.77	36.77	36.76	43.60	66.05	96.94	129.68	159.92	185.08	203.63	214.64	217.63	212.45	199.34	178.91	152.22	121.01	88.22	43.36	37.08	37.10	37.12	37.12	37.12	37.12	37.12	37.12	37.10	51.35	93.33	141.14	184.83	220.58	246.65	262.04	266.19	258.96	240.62	211.84	173.76	128.47	80.79
-19.00	3.36	3.36	3.36	3.36	3.36	3.36	3.36	3.36	3.36	3.53	4.85	7.00	9.47	11.85	13.86	15.27	15.95	15.84	14.96	13.37	11.24	8.79	6.37	4.37	3.41	3.42	3.42	3.42	3.42	3.42	3.42	3.42	3.42	3.42	4.23	8.44	13.75	18.82	22.95	25.78	27.13	26.92	25.16	21.95	17.53	12.31	7.11	3.62	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.75	9.67	17.77	25.27	31.24	35.27	37.19	36.89	34.39	29.81	23.39	15.60	7.65	3.38
-20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
